UWIDE_CATALOG"UNID"	"SUNY_ID"	"SUNY_ID_IMMUTABLE"	"IPEDS"	"DISC"	"NUM"	"DESCRIP"	"LONG_TITLE"	"SHORT_TITLE"	"MIN_CRED"	"MAX_CRED"	"SUNY_GE"	"CAT_YEAR"
"66005"	"84567"	"84567.2021"	"SUNY Cortland"	"ENG"	"497"	"ENG"	"Senior Sem:Professional Writng"	"Senior Sem:Professional Writng"	"3"	"3"	"Not Applicable"	"2021"
"66006"	"84568"	"84568.2021"	"SUNY Cortland"	"ENG"	"498"	"ENG"	"Independent Study"	"Independent Study"	"1"	"3"	"Not Applicable"	"2021"
"66007"	"84569"	"84569.2021"	"SUNY Cortland"	"ENG"	"499"	"ENG"	"Senior Thesis"	"Senior Thesis"	"3"	"3"	"Not Applicable"	"2021"
"66008"	"84570"	"84570.2021"	"SUNY Cortland"	"ENG"	"500"	"ENG"	"Old English"	"Old English"	"3"	"3"	"Not Applicable"	"2021"
"66009"	"84571"	"84571.2021"	"SUNY Cortland"	"ENG"	"502"	"ENG"	"Sem:Comp Proc Rhet & Analysis"	"Sem:Comp Proc Rhet & Analysis"	"3"	"3"	"Not Applicable"	"2021"
"66010"	"84572"	"84572.2021"	"SUNY Cortland"	"ENG"	"503"	"ENG"	"Particip-Observ Exp: Composing"	"Particip-Observ Exp: Composing"	"1"	"1"	"Not Applicable"	"2021"
"66011"	"84573"	"84573.2021"	"SUNY Cortland"	"ENG"	"504"	"ENG"	"Writing Pedagogy/Assessment"	"Writing Pedagogy/Assessment"	"0"	"3"	"Not Applicable"	"2021"
"66012"	"84574"	"84574.2021"	"SUNY Cortland"	"ENG"	"505"	"ENG"	"Part-Observ Exp: Comp. Process"	"Part-Observ Exp: Comp. Process"	"3"	"3"	"Not Applicable"	"2021"
"66013"	"84575"	"84575.2021"	"SUNY Cortland"	"ENG"	"506"	"ENG"	"Computers & Study of English"	"Computers & Study of English"	"0"	"3"	"Not Applicable"	"2021"
"66014"	"84576"	"84576.2021"	"SUNY Cortland"	"ENG"	"529"	"ENG"	"Special Topics in English"	"Special Topics in English"	"1"	"4"	"Not Applicable"	"2021"
"66015"	"84577"	"84577.2021"	"SUNY Cortland"	"ENG"	"530"	"ENG"	"Chaucer"	"Chaucer"	"3"	"3"	"Not Applicable"	"2021"
"66016"	"84578"	"84578.2021"	"SUNY Cortland"	"ENG"	"532"	"ENG"	"Middle English Literature"	"Middle English Literature"	"3"	"3"	"Not Applicable"	"2021"
"66017"	"84579"	"84579.2021"	"SUNY Cortland"	"ENG"	"538"	"ENG"	"Studies:17th Cent English Lit."	"Studies:17th Cent English Lit."	"3"	"3"	"Not Applicable"	"2021"
"66018"	"84580"	"84580.2021"	"SUNY Cortland"	"ENG"	"539"	"ENG"	"Milton"	"Milton"	"3"	"3"	"Not Applicable"	"2021"
"66019"	"84581"	"84581.2021"	"SUNY Cortland"	"ENG"	"547"	"ENG"	"19thC Brit.Women Writers"	"19thC Brit.Women Writers"	"3"	"3"	"Not Applicable"	"2021"
"66020"	"84582"	"84582.2021"	"SUNY Cortland"	"ENG"	"548"	"ENG"	"Studies:Brit.Lit.1950-Present"	"Studies:Brit.Lit.1950-Present"	"3"	"3"	"Not Applicable"	"2021"
"66021"	"84583"	"84583.2021"	"SUNY Cortland"	"ENG"	"549"	"ENG"	"Studies in Irish Literature"	"Studies in Irish Literature"	"3"	"3"	"Not Applicable"	"2021"
"66022"	"84584"	"84584.2021"	"SUNY Cortland"	"ENG"	"572"	"ENG"	"Seminar in Literary Criticism"	"Seminar in Literary Criticism"	"3"	"3"	"Not Applicable"	"2021"
"66023"	"84585"	"84585.2021"	"SUNY Cortland"	"ENG"	"601"	"ENG"	"History of the English Lang"	"History of the English Lang"	"3"	"3"	"Not Applicable"	"2021"
"66024"	"84586"	"84586.2021"	"SUNY Cortland"	"ENG"	"602"	"ENG"	"Rhetorical Tradition"	"Rhetorical Tradition"	"3"	"3"	"Not Applicable"	"2021"
"66025"	"84587"	"84587.2021"	"SUNY Cortland"	"ENG"	"615"	"ENG"	"Studies in Amer Lit to 1900"	"Studies in Amer Lit to 1900"	"3"	"3"	"Not Applicable"	"2021"
"66026"	"84588"	"84588.2021"	"SUNY Cortland"	"ENG"	"616"	"ENG"	"Studies in Amer Lit:1900-1950"	"Studies in Amer Lit:1900-1950"	"3"	"3"	"Not Applicable"	"2021"
"66027"	"84589"	"84589.2021"	"SUNY Cortland"	"ENG"	"617"	"ENG"	"Studies in Amer Lit since 1950"	"Studies in Amer Lit since 1950"	"3"	"3"	"Not Applicable"	"2021"
"66028"	"84590"	"84590.2021"	"SUNY Cortland"	"ENG"	"618"	"ENG"	"Global Multicultural Lit."	"Global Multicultural Lit."	"3"	"3"	"Not Applicable"	"2021"
"66029"	"84591"	"84591.2021"	"SUNY Cortland"	"ENG"	"619"	"ENG"	"Sem:Literature for Adolescence"	"Sem:Literature for Adolescence"	"3"	"3"	"Not Applicable"	"2021"
"66030"	"84592"	"84592.2021"	"SUNY Cortland"	"ENG"	"622"	"ENG"	"Seminar:American Women Writers"	"Seminar:American Women Writers"	"3"	"3"	"Not Applicable"	"2021"
"66031"	"84593"	"84593.2021"	"SUNY Cortland"	"ENG"	"629"	"ENG"	"Special Topics in English"	"Special Topics in English"	"0"	"4"	"Not Applicable"	"2021"
"66032"	"84594"	"84594.2021"	"SUNY Cortland"	"ENG"	"632"	"ENG"	"Middle English Literature"	"Middle English Literature"	"3"	"3"	"Not Applicable"	"2021"
"66033"	"84595"	"84595.2021"	"SUNY Cortland"	"ENG"	"636"	"ENG"	"Seminar in Shakespeare"	"Seminar in Shakespeare"	"3"	"3"	"Not Applicable"	"2021"
"66034"	"84596"	"84596.2021"	"SUNY Cortland"	"ENG"	"640"	"ENG"	"Studies in Eng. Lit: 1660-1800"	"Studies in Eng. Lit: 1660-1800"	"3"	"3"	"Not Applicable"	"2021"
"66035"	"84597"	"84597.2021"	"SUNY Cortland"	"ENG"	"645"	"ENG"	"Studies in the Romantic Era"	"Studies in the Romantic Era"	"3"	"3"	"Not Applicable"	"2021"
"66036"	"84598"	"84598.2021"	"SUNY Cortland"	"ENG"	"646"	"ENG"	"Studies in the Victorian Era"	"Studies in the Victorian Era"	"3"	"3"	"Not Applicable"	"2021"
"66037"	"168244"	"168244.2021"	"SUNY Cortland"	"ENG"	"660"	"ENG"	"Seminar: Professional Writing"	"Seminar: Professional Writing"	"3"	"3"	"Not Applicable"	"2021"
"66038"	"84599"	"84599.2021"	"SUNY Cortland"	"ENG"	"672"	"ENG"	"Lit and Cultural Crit Sem"	"Lit and Cultural Crit Sem"	"3"	"3"	"Not Applicable"	"2021"
"66039"	"84600"	"84600.2021"	"SUNY Cortland"	"ENG"	"677"	"ENG"	"Sem: Contemporary British Lit"	"Sem: Contemporary British Lit"	"3"	"3"	"Not Applicable"	"2021"
"66040"	"84601"	"84601.2021"	"SUNY Cortland"	"ENG"	"678"	"ENG"	"World Drama"	"World Drama"	"3"	"3"	"Not Applicable"	"2021"
"66041"	"284978"	"284978.2021"	"SUNY Cortland"	"ENG"	"687"	"ENG"	"Culminating Activity:  Thesis"	"Culminating Activity:  Thesis"	"0"	"0"	"Not Applicable"	"2021"
"66042"	"107557"	"107557.2021"	"SUNY Cortland"	"ENG"	"697"	"ENG"	"Extension of Graduate Culminating Activity"	"Extension: GR Culminating Act."	"1"	"1"	"Not Applicable"	"2021"
"66043"	"84602"	"84602.2021"	"SUNY Cortland"	"ENG"	"699"	"ENG"	"Independent Study"	"Independent Study"	"1"	"6"	"Not Applicable"	"2021"
"66044"	"344799"	"344799.2021"	"SUNY Cortland"	"ENS"	"100"	"ENS"	"Intro to Env Sci"	"Intro to Env Sci"	"3"	"3"	"Not Applicable"	"2021"
"66045"	"131717"	"131717.2021"	"SUNY Cortland"	"ENS"	"176"	"ENS"	"Green Reps: Sustainability in the Campus Community"	"Green Reps & Sustainability"	"1"	"1"	"Not Applicable"	"2021"
"66046"	"84603"	"84603.2021"	"SUNY Cortland"	"ENS"	"292"	"ENS"	"Land Use and Planning"	"Land Use and Planning"	"3"	"3"	"Not Applicable"	"2021"
"66047"	"84604"	"84604.2021"	"SUNY Cortland"	"ENS"	"310"	"ENS"	"Wetlands Analysis"	"Wetlands Analysis"	"0"	"3"	"Not Applicable"	"2021"
"66048"	"84605"	"84605.2021"	"SUNY Cortland"	"ENS"	"486"	"ENS"	"Seminar in Environ Science"	"Seminar in Environ Science"	"3"	"3"	"Not Applicable"	"2021"
"66049"	"84606"	"84606.2021"	"SUNY Cortland"	"ENS"	"487"	"ENS"	"Environ Science Internship"	"Environ Science Internship"	"3"	"12"	"Not Applicable"	"2021"
"66050"	"84607"	"84607.2021"	"SUNY Cortland"	"ENS"	"529"	"ENS"	"Spec Topics in Environ Science"	"Spec Topics in Environ Science"	"1"	"4"	"Not Applicable"	"2021"
"66051"	"84608"	"84608.2021"	"SUNY Cortland"	"ESL"	"099"	"ESL"	"Elementary Preparation - ESL"	"Elementary Preparation - ESL"	"6"	"6"	"Not Applicable"	"2021"
"66052"	"84609"	"84609.2021"	"SUNY Cortland"	"ESL"	"101"	"ESL"	"English as a Second Language I"	"English as a Second Language I"	"3"	"3"	"Not Applicable"	"2021"
"66053"	"84610"	"84610.2021"	"SUNY Cortland"	"ESL"	"102"	"ESL"	"English as a Second Lang. II"	"English as a Second Lang. II"	"3"	"3"	"Not Applicable"	"2021"
"66054"	"84611"	"84611.2021"	"SUNY Cortland"	"ESL"	"129"	"ESL"	"Spec.Topics: Eng.as Sec. Lang."	"Spec.Topics: Eng.as Sec. Lang."	"1"	"4"	"Not Applicable"	"2021"
"66055"	"181681"	"181681.2021"	"SUNY Cortland"	"ESL"	"229"	"ESL"	"Spec.Topics: Eng as Sec. Lang"	"Spec.Topics: Eng as Sec. Lang"	"1"	"4"	"Not Applicable"	"2021"
"66056"	"84612"	"84612.2021"	"SUNY Cortland"	"ESL"	"300"	"ESL"	"Theor.Found: Eng.as Sec. Lang."	"Theor.Found: Eng.as Sec. Lang."	"3"	"3"	"Not Applicable"	"2021"
"66057"	"84613"	"84613.2021"	"SUNY Cortland"	"ESL"	"301"	"ESL"	"Methods of Teaching English as a Second Language"	"Methods of Teaching ESL"	"3"	"3"	"Not Applicable"	"2021"
"66058"	"84614"	"84614.2021"	"SUNY Cortland"	"ESL"	"302"	"ESL"	"Applied Linguistics for Teachers of English as a Second Language"	"Applied Linguistics for TESL"	"3"	"3"	"Not Applicable"	"2021"
"66059"	"254666"	"254666.2021"	"SUNY Cortland"	"ESL"	"303"	"ESL"	"English Grammar for TESOL"	"English Grammar for TESOL"	"3"	"3"	"Not Applicable"	"2021"
"66060"	"181682"	"181682.2021"	"SUNY Cortland"	"ESL"	"329"	"ESL"	"Spec.Topics: Eng as Sec. Lang"	"Spec.Topics: Eng as Sec. Lang"	"0"	"4"	"Not Applicable"	"2021"
"66061"	"84615"	"84615.2021"	"SUNY Cortland"	"ESL"	"400"	"ESL"	"Teaching Reading in the Second Language Classroom"	"Teach.Reading:Sec.Lang.Classrm"	"3"	"3"	"Not Applicable"	"2021"
"66062"	"84616"	"84616.2021"	"SUNY Cortland"	"ESL"	"401"	"ESL"	"Teaching Writing in the Second Language Classroom"	"Teach.Writing:Sec.Lang.Classrm"	"3"	"3"	"Not Applicable"	"2021"
"66063"	"84617"	"84617.2021"	"SUNY Cortland"	"ESL"	"402"	"ESL"	"Teaching English as a Second Language in the Content Areas"	"Teaching ESL in Content Areas"	"3"	"3"	"Not Applicable"	"2021"
"66064"	"84618"	"84618.2021"	"SUNY Cortland"	"ESL"	"403"	"ESL"	"Second Language Testing and Assessment"	"Sec.Language Test & Assessment"	"3"	"3"	"Not Applicable"	"2021"
"66065"	"254667"	"254667.2021"	"SUNY Cortland"	"ESL"	"404"	"ESL"	"ESL Literacy Elementary School"	"ESL Literacy Elementary School"	"0"	"3"	"Not Applicable"	"2021"
"66066"	"254668"	"254668.2021"	"SUNY Cortland"	"ESL"	"405"	"ESL"	"ESL Teach Via Videoconference"	"ESL Teach Via Videoconference"	"3"	"3"	"Not Applicable"	"2021"
"66067"	"304377"	"304377.2021"	"SUNY Cortland"	"ESL"	"406"	"ESL"	"Educating ELLs"	"Educating ELLs"	"3"	"3"	"Not Applicable"	"2021"
"66068"	"329063"	"329063.2021"	"SUNY Cortland"	"ESL"	"422"	"ESL"	"Theory/Practice-Bilingual Ed"	"Theory/Practice-Bilingual Ed"	"3"	"3"	"Not Applicable"	"2021"
"66069"	"329079"	"329079.2021"	"SUNY Cortland"	"ESL"	"503"	"ESL"	"Sec.Language Test & Assessment"	"Sec.Language Test & Assessment"	"3"	"3"	"Not Applicable"	"2021"
"66070"	"329064"	"329064.2021"	"SUNY Cortland"	"ESL"	"504"	"ESL"	"ESL Literacy Elementary School"	"ESL Literacy Elementary School"	"3"	"3"	"Not Applicable"	"2021"
"66071"	"304378"	"304378.2021"	"SUNY Cortland"	"ESL"	"506"	"ESL"	"Educating ELLs"	"Educating ELLs"	"3"	"3"	"Not Applicable"	"2021"
"66072"	"329065"	"329065.2021"	"SUNY Cortland"	"ESL"	"522"	"ESL"	"Theory/Practice-Bilingual Ed"	"Theory/Practice-Bilingual Ed"	"3"	"3"	"Not Applicable"	"2021"
"66073"	"84619"	"84619.2021"	"SUNY Cortland"	"EST"	"100"	"EST"	"Intro: Environmental Studies"	"Intro: Environmental Studies"	"0"	"3"	"Social Sciences"	"2021"
"66074"	"84620"	"84620.2021"	"SUNY Cortland"	"EST"	"129"	"EST"	"TP:Spec.Topics-Environ Studies"	"TP:Spec.Topics-Environ Studies"	"1"	"4"	"Not Applicable"	"2021"
"66075"	"131718"	"131718.2021"	"SUNY Cortland"	"EST"	"176"	"EST"	"Green Reps: Sustainability in the Campus Community"	"Green Reps & Sustainability"	"1"	"1"	"Not Applicable"	"2021"
"66076"	"84621"	"84621.2021"	"SUNY Cortland"	"EST"	"229"	"EST"	"TP:Spec.Topics-Environ Studies"	"TP:Spec.Topics-Environ Studies"	"1"	"4"	"Not Applicable"	"2021"
"66077"	"84622"	"84622.2021"	"SUNY Cortland"	"EST"	"329"	"EST"	"TP:Spec.Topics-Environ Studies"	"TP:Spec.Topics-Environ Studies"	"1"	"4"	"Not Applicable"	"2021"
"66078"	"84623"	"84623.2021"	"SUNY Cortland"	"EST"	"429"	"EST"	"TP:Spec.Topics-Environ Studies"	"TP:Spec.Topics-Environ Studies"	"1"	"4"	"Not Applicable"	"2021"
"66079"	"84624"	"84624.2021"	"SUNY Cortland"	"EST"	"486"	"EST"	"Seminar: Environmental Studies"	"Seminar: Environmental Studies"	"3"	"3"	"Not Applicable"	"2021"
"66080"	"84625"	"84625.2021"	"SUNY Cortland"	"EST"	"529"	"EST"	"Special Topics: Environ Stdies"	"Special Topics: Environ Stdies"	"0"	"4"	"Not Applicable"	"2021"
"66081"	"84626"	"84626.2021"	"SUNY Cortland"	"EST"	"548"	"EST"	"The Adirondack Classroom"	"The Adirondack Classroom"	"3"	"3"	"Not Applicable"	"2021"
"66082"	"84627"	"84627.2021"	"SUNY Cortland"	"EXS"	"100"	"EXS"	"Introduction to Kinesiology"	"Introduction to Kinesiology"	"3"	"3"	"Not Applicable"	"2021"
"66083"	"254669"	"254669.2021"	"SUNY Cortland"	"EXS"	"106"	"EXS"	"Africana Dance"	"Africana Dance"	"1"	"1"	"Not Applicable"	"2021"
"66084"	"107558"	"107558.2021"	"SUNY Cortland"	"EXS"	"111"	"EXS"	"Computer Application in Exercise Science"	"Computer Appl-Exercise Science"	"0"	"3"	"Not Applicable"	"2021"
"66085"	"337767"	"337767.2021"	"SUNY Cortland"	"EXS"	"112"	"EXS"	"Software App. in EXS"	"Software App. in EXS"	"1"	"1"	"Not Applicable"	"2021"
"66086"	"84628"	"84628.2021"	"SUNY Cortland"	"EXS"	"129"	"EXS"	"Special Topics in Exer Science"	"Special Topics in Exer Science"	"0"	"4"	"Not Applicable"	"2021"
"66087"	"209263"	"209263.2021"	"SUNY Cortland"	"EXS"	"151"	"EXS"	"Practical Strength and Conditioning"	"Pract Strength & Conditioning"	"0"	"1"	"Not Applicable"	"2021"
"66088"	"209264"	"209264.2021"	"SUNY Cortland"	"EXS"	"156"	"EXS"	"Group Exercise Instruction"	"Group Exercise Instruction"	"1"	"1"	"Not Applicable"	"2021"
"66089"	"84629"	"84629.2021"	"SUNY Cortland"	"EXS"	"162"	"EXS"	"Soccer: Politics,Law & Culture"	"Soccer: Politics,Law & Culture"	"3"	"3"	"Not Applicable"	"2021"
"66090"	"317143"	"317143.2021"	"SUNY Cortland"	"EXS"	"180"	"EXS"	"Water Fitness"	"Water Fitness"	"1"	"1"	"Not Applicable"	"2021"
"66091"	"84630"	"84630.2021"	"SUNY Cortland"	"EXS"	"196"	"EXS"	"Field Experience: FIT I"	"Field Experience: FIT I"	"1"	"1"	"Not Applicable"	"2021"
"66092"	"84631"	"84631.2021"	"SUNY Cortland"	"EXS"	"197"	"EXS"	"Hist & Phil of Phys.Ed & Sport"	"Hist & Phil of Phys.Ed & Sport"	"3"	"3"	"Not Applicable"	"2021"
"66093"	"84632"	"84632.2021"	"SUNY Cortland"	"EXS"	"201"	"EXS"	"Statistical Applications in Exercise Science"	"Statistics in Exercise Science"	"0"	"3"	"Mathematics"	"2021"
"66094"	"107559"	"107559.2021"	"SUNY Cortland"	"EXS"	"225"	"EXS"	"Digital Video for Kinesiology"	"Digital Video for Kinesiology"	"3"	"3"	"Not Applicable"	"2021"
"66095"	"84633"	"84633.2021"	"SUNY Cortland"	"EXS"	"229"	"EXS"	"Special Topics in Exer Science"	"Special Topics in Exer Science"	"0"	"4"	"Not Applicable"	"2021"
"66096"	"84634"	"84634.2021"	"SUNY Cortland"	"EXS"	"230"	"EXS"	"Foundations of Coaching: Principles and Theories"	"Found of Coach:Prin.& Theories"	"3"	"3"	"Not Applicable"	"2021"
"66097"	"168245"	"168245.2021"	"SUNY Cortland"	"EXS"	"250"	"EXS"	"Research Skills in Kinesiology"	"Research Skills in Kinesiology"	"3"	"3"	"Not Applicable"	"2021"
"66098"	"84635"	"84635.2021"	"SUNY Cortland"	"EXS"	"260"	"EXS"	"Coaching Practicum I"	"Coaching Practicum I"	"1"	"1"	"Not Applicable"	"2021"
"66099"	"355884"	"355884.2021"	"SUNY Cortland"	"EXS"	"270"	"EXS"	"Found Personal Train"	"Found Personal Train"	"3"	"3"	"Not Applicable"	"2021"
"66100"	"84636"	"84636.2021"	"SUNY Cortland"	"EXS"	"287"	"EXS"	"Soc-Psych Aspects of Phys Act"	"Soc-Psych Aspects of Phys Act"	"3"	"3"	"Not Applicable"	"2021"
"66101"	"84637"	"84637.2021"	"SUNY Cortland"	"EXS"	"290"	"EXS"	"Soc Prob & Iss in Sport & Exer"	"Soc Prob & Iss in Sport & Exer"	"3"	"3"	"Not Applicable"	"2021"
"66102"	"84638"	"84638.2021"	"SUNY Cortland"	"EXS"	"296"	"EXS"	"Field Experience: FIT II"	"Field Experience: FIT II"	"0"	"1"	"Not Applicable"	"2021"
"66103"	"84639"	"84639.2021"	"SUNY Cortland"	"EXS"	"297"	"EXS"	"Motor Behavior"	"Motor Behavior"	"0"	"3"	"Not Applicable"	"2021"
"66104"	"355885"	"355885.2021"	"SUNY Cortland"	"EXS"	"300"	"EXS"	"Clinical Pathways"	"Clinical Pathways"	"1"	"1"	"Not Applicable"	"2021"
"66105"	"168246"	"168246.2021"	"SUNY Cortland"	"EXS"	"310"	"EXS"	"Ethical Issues in Kinesiology"	"Ethical Issues in Kinesiology"	"3"	"3"	"Not Applicable"	"2021"
"66106"	"355854"	"355854.2021"	"SUNY Cortland"	"EXS"	"311"	"EXS"	"Legal Issues in PE and Sport"	"Legal Issues in PE and Sport"	"3"	"3"	"Not Applicable"	"2021"
"66107"	"304379"	"304379.2021"	"SUNY Cortland"	"EXS"	"315"	"EXS"	"Anatomical Kinesiology"	"Anatomical Kinesiology"	"3"	"3"	"Not Applicable"	"2021"
"66108"	"355886"	"355886.2021"	"SUNY Cortland"	"EXS"	"320"	"EXS"	"Pt Assess"	"Pt Assess"	"3"	"3"	"Not Applicable"	"2021"
"66109"	"84640"	"84640.2021"	"SUNY Cortland"	"EXS"	"325"	"EXS"	"Principles of Strength and Conditioning"	"Prin.of Strength&Conditioning"	"3"	"3"	"Not Applicable"	"2021"
"66110"	"84641"	"84641.2021"	"SUNY Cortland"	"EXS"	"329"	"EXS"	"Special Topics in Exer Science"	"Special Topics in Exer Science"	"0"	"4"	"Not Applicable"	"2021"
"66111"	"355887"	"355887.2021"	"SUNY Cortland"	"EXS"	"344"	"EXS"	"Medical Terminology"	"Medical Terminology"	"3"	"3"	"Not Applicable"	"2021"
"66112"	"84642"	"84642.2021"	"SUNY Cortland"	"EXS"	"345"	"EXS"	"Sport & Society"	"Sport & Society"	"3"	"3"	"Not Applicable"	"2021"
"66113"	"84643"	"84643.2021"	"SUNY Cortland"	"EXS"	"346"	"EXS"	"Sport Psychology"	"Sport Psychology"	"2"	"3"	"Not Applicable"	"2021"
"66114"	"84644"	"84644.2021"	"SUNY Cortland"	"EXS"	"350"	"EXS"	"Aesthetics of Sport"	"Aesthetics of Sport"	"3"	"3"	"Not Applicable"	"2021"
"66115"	"84645"	"84645.2021"	"SUNY Cortland"	"EXS"	"351"	"EXS"	"Philosophy of Sport"	"Philosophy of Sport"	"3"	"3"	"Not Applicable"	"2021"
"66116"	"168247"	"168247.2021"	"SUNY Cortland"	"EXS"	"352"	"EXS"	"Masculinity in Sport"	"Masculinity in Sport"	"3"	"3"	"Not Applicable"	"2021"
"66117"	"168248"	"168248.2021"	"SUNY Cortland"	"EXS"	"354"	"EXS"	"Youth in Sport"	"Youth in Sport"	"3"	"3"	"Not Applicable"	"2021"
"66118"	"168249"	"168249.2021"	"SUNY Cortland"	"EXS"	"356"	"EXS"	"Performance Enhancing Drugs in Sport"	"Perfmnc Enhance Drugs in Sport"	"3"	"3"	"Not Applicable"	"2021"
"66119"	"84646"	"84646.2021"	"SUNY Cortland"	"EXS"	"357"	"EXS"	"Nutrition & Sport Performance"	"Nutrition & Sport Performance"	"3"	"3"	"Not Applicable"	"2021"
"66120"	"84647"	"84647.2021"	"SUNY Cortland"	"EXS"	"360"	"EXS"	"Coaching Practicum II"	"Coaching Practicum II"	"1"	"1"	"Not Applicable"	"2021"
"66121"	"84648"	"84648.2021"	"SUNY Cortland"	"EXS"	"367"	"EXS"	"Exercise Psychology"	"Exercise Psychology"	"3"	"3"	"Not Applicable"	"2021"
"66122"	"355855"	"355855.2021"	"SUNY Cortland"	"EXS"	"370"	"EXS"	"Internship EXS"	"Internship EXS"	"2"	"6"	"Not Applicable"	"2021"
"66123"	"84649"	"84649.2021"	"SUNY Cortland"	"EXS"	"371"	"EXS"	"Pre-Intern Seminar: FIT"	"Pre-Intern Seminar: FIT"	"0"	"1"	"Not Applicable"	"2021"
"66124"	"355888"	"355888.2021"	"SUNY Cortland"	"EXS"	"380"	"EXS"	"Motor Behavior"	"Motor Behavior"	"0"	"3"	"Not Applicable"	"2021"
"66125"	"84650"	"84650.2021"	"SUNY Cortland"	"EXS"	"387"	"EXS"	"Biomechanics"	"Biomechanics"	"0"	"3"	"Not Applicable"	"2021"
"66126"	"84651"	"84651.2021"	"SUNY Cortland"	"EXS"	"397"	"EXS"	"Exercise Physiology I"	"Exercise Physiology I"	"0"	"3"	"Not Applicable"	"2021"
"66127"	"84652"	"84652.2021"	"SUNY Cortland"	"EXS"	"410"	"EXS"	"Ethics in Sport"	"Ethics in Sport"	"3"	"3"	"Not Applicable"	"2021"
"66128"	"355889"	"355889.2021"	"SUNY Cortland"	"EXS"	"415"	"EXS"	"Emergency Management"	"Emergency Management"	"3"	"3"	"Not Applicable"	"2021"
"66129"	"84653"	"84653.2021"	"SUNY Cortland"	"EXS"	"420"	"EXS"	"History of Physical Activity and Sport in American Culture"	"Hist: Phys Act & Spt in AmCult"	"3"	"3"	"Not Applicable"	"2021"
"66130"	"168250"	"168250.2021"	"SUNY Cortland"	"EXS"	"425"	"EXS"	"History of Intercollegiate Sports in the United States"	"History of College Sports"	"3"	"3"	"Not Applicable"	"2021"
"66131"	"168251"	"168251.2021"	"SUNY Cortland"	"EXS"	"427"	"EXS"	"Globalization and Sport"	"Globalization and Sport"	"3"	"3"	"Not Applicable"	"2021"
"66132"	"84654"	"84654.2021"	"SUNY Cortland"	"EXS"	"429"	"EXS"	"Special Topics in Exer Science"	"Special Topics in Exer Science"	"0"	"4"	"Not Applicable"	"2021"
"66133"	"84655"	"84655.2021"	"SUNY Cortland"	"EXS"	"432"	"EXS"	"Exercise Prescription"	"Exercise Prescription"	"3"	"3"	"Not Applicable"	"2021"
"66134"	"322118"	"322118.2021"	"SUNY Cortland"	"EXS"	"433"	"EXS"	"Exer Prescription Practicum"	"Exer Prescription Practicum"	"0"	"1"	"Not Applicable"	"2021"
"66135"	"84656"	"84656.2021"	"SUNY Cortland"	"EXS"	"435"	"EXS"	"Neuromusc. Fit.  Assess & Prog"	"Neuromusc. Fit.  Assess & Prog"	"0"	"3"	"Not Applicable"	"2021"
"66136"	"84657"	"84657.2021"	"SUNY Cortland"	"EXS"	"438"	"EXS"	"Cardio-Resp Fit Assess & Prog"	"Cardio-Resp Fit Assess & Prog"	"0"	"3"	"Not Applicable"	"2021"
"66137"	"84658"	"84658.2021"	"SUNY Cortland"	"EXS"	"444"	"EXS"	"Lab Assist: Exer Science"	"Lab Assist: Exer Science"	"1"	"3"	"Not Applicable"	"2021"
"66138"	"84659"	"84659.2021"	"SUNY Cortland"	"EXS"	"445"	"EXS"	"Women and Sport"	"Women and Sport"	"3"	"3"	"Not Applicable"	"2021"
"66139"	"107560"	"107560.2021"	"SUNY Cortland"	"EXS"	"449"	"EXS"	"Advanced Motor Behavior"	"Advanced Motor Behavior"	"3"	"3"	"Not Applicable"	"2021"
"66140"	"84660"	"84660.2021"	"SUNY Cortland"	"EXS"	"450"	"EXS"	"Disability and Sport"	"Disability and Sport"	"3"	"3"	"Not Applicable"	"2021"
"66141"	"84661"	"84661.2021"	"SUNY Cortland"	"EXS"	"455"	"EXS"	"Philosophy, Principles and the Administration of Sport"	"Phil, Prin, & Admin.of Sport"	"3"	"3"	"Not Applicable"	"2021"
"66142"	"84662"	"84662.2021"	"SUNY Cortland"	"EXS"	"460"	"EXS"	"Clinical Applications of Research"	"Clinical Appl. of Research"	"3"	"3"	"Not Applicable"	"2021"
"66143"	"168252"	"168252.2021"	"SUNY Cortland"	"EXS"	"465"	"EXS"	"Advanced Exercise Physiology"	"Advanced Exercise Physiology"	"0"	"3"	"Not Applicable"	"2021"
"66144"	"84663"	"84663.2021"	"SUNY Cortland"	"EXS"	"468"	"EXS"	"African-American Sport History"	"African-American Sport History"	"3"	"3"	"Not Applicable"	"2021"
"66145"	"84664"	"84664.2021"	"SUNY Cortland"	"EXS"	"470"	"EXS"	"App of Personal Training"	"App of Personal Training"	"0"	"2"	"Not Applicable"	"2021"
"66146"	"84665"	"84665.2021"	"SUNY Cortland"	"EXS"	"471"	"EXS"	"Internship:Fitness Development"	"Internship:Fitness Development"	"9"	"15"	"Not Applicable"	"2021"
"66147"	"84666"	"84666.2021"	"SUNY Cortland"	"EXS"	"475"	"EXS"	"Internship in Coaching"	"Internship in Coaching"	"6"	"6"	"Not Applicable"	"2021"
"66148"	"168253"	"168253.2021"	"SUNY Cortland"	"EXS"	"477"	"EXS"	"Practicum in Kinesiology"	"Practicum in Kinesiology"	"0"	"6"	"Not Applicable"	"2021"
"66149"	"168254"	"168254.2021"	"SUNY Cortland"	"EXS"	"479"	"EXS"	"Social Critique of Sport"	"Social Critique of Sport"	"3"	"3"	"Not Applicable"	"2021"
